SampleID;x1;x2;y;RandomEffect ; 
140228_1987_9;0.064;13.25;7;R4;
OETEN300_1987_6;0.054;9;8;R17;
OETEN300_1987_9;0.054;9;7;R17;
140228_1986_9;0.131;8.241428571;13;R4;
OZEEP300_1986_6;0.095;6.4;13;R4;
OGELE300_1986_6;0.053;6.22;13;R17;
140228_1988_10;0.067;6.177777778;9;R4;
140228_1988_4;0.067;6.177777778;17;R4;
140228_1990_11;0.074;5.983333333;9;R4;
140228_1985_4;0.044;5.666666667;5;R4;
140228_1985_9;0.044;5.666666667;15;R4;
OCAUM905_1987_6;0.044;5.3;7;R17;
OCAUM905_1987_9;0.044;5.3;12;R17;
OZEEP300_1987_6;0.086;5.283333333;7;R4;
OANSE900_1986_6;0.046;5.15;18;R17;
OGELE300_1987_6;0.037;5.033333333;14;R17;
ORODE500_1986_5;0.07;4.895;20;R13;
ORODE500_1986_9;0.07;4.895;22;R13;
OGELE700_1985_10;0.048;4.82;5;R18;
OGELE700_1985_6;0.048;4.82;3;R18;
OGELE500_1986_6;0.046;4.72;11;R17;
OSLAK800_1984_7;0.059;4.683333333;8;R17;
340415_1985_4;0.202;4.545454545;2;R5;
OZEEP300_1988_5;0.065;4.529166667;5;R4;
ORODE400_1987_10;0.05;4.466666667;10;R13;
ORODE400_1987_6;0.05;4.466666667;16;R13;
OZEEP300_1989_6;0.073;4.408333333;11;R4;
OGELE500_1987_6;0.055;4.358333333;14;R17;
OEIJS500_1986_6;0.046;4.27;8;R17;
OGELE900_1986_6;0.055;4.1;16;R18;
OGELE300_1989_10;0.027;4;25;R17;
OGELE800_1986_6;0.037;3.98;18;R18;
OMUHL800_1983_6;0.044;3.946153846;23;R13;
OMUHL800_1983_9;0.044;3.946153846;18;R13;
ORODE500_1987_5;0.031;3.911666667;19;R13;
ORODE500_1987_9;0.031;3.911666667;17;R13;
OMUHL800_1986_5;0.061;3.885714286;20;R13;
OMUHL800_1986_9;0.061;3.885714286;17;R13;
OURUR900_1984_7;0.049;3.825;10;R4;
OGELE900_1987_6;0.053;3.8;15;R18;
ORODE500_1985_5;0.054;3.775;24;R13;
ORODE500_1985_9;0.054;3.775;31;R13;
OMUHL800_1984_5;0.052;3.746153846;17;R13;
OMUHL800_1984_9;0.052;3.746153846;26;R13;
140228_1989_11;0.049;3.733333333;14;R4;
140228_1989_6;0.049;3.733333333;9;R4;
ORODE500_1983_5;0.012;3.715384615;28;R13;
ORODE500_1983_9;0.012;3.715384615;18;R13;
OMSNL900_1991_6;0.046;3.7;4;R4;
OGELE800_1989_10;0.055;3.675;11;R18;
ORODE500_1984_5;0.054;3.664615385;19;R13;
ORODE500_1984_9;0.054;3.664615385;21;R13;
OWORM900_1983_5;0.056;3.661538462;17;R18;
OWORM900_1983_9;0.056;3.661538462;17;R18;
OWORM100_1983_5;0.059;3.646153846;17;R18;
OWORM100_1983_9;0.059;3.646153846;21;R18;
OANSE290_1986_6;0.011;3.583333333;18;R17;
OANSE290_1986_9;0.011;3.583333333;11;R17;
OMSNL900_1987_10;0.01;3.583333333;2;R4;
OMSNL900_1987_6;0.01;3.583333333;3;R4;
OGELE900_1985_10;0.06;3.577777778;14;R18;
OGELE900_1985_6;0.06;3.577777778;13;R18;
OGELE300_1988_6;0.042;3.546153846;17;R17;
140262_2000_9;0.071;3.458333333;44;R5;
ORODE400_1989_10;0.069;3.416666667;4;R13;
OEIJS500_1987_6;0.031;3.416666667;21;R17;
OVLGF100_1987_6;0.04;3.4;14;R18;
140228_2012_5;0.009;3.399090909;46;R4;
OMUHL800_1989_9;0.052;3.396923077;18;R13;
OMSNL900_1992_6;0.006;3.375;3;R4;
OURUR900_1985_10;0.055;3.333333333;8;R4;
OURUR900_1985_7;0.055;3.333333333;11;R4;
OANSE300_1983_5;0.039;3.184615385;17;R17;
OANSE300_1983_9;0.039;3.184615385;22;R17;
OMSNL900_1989_6;0.072;3.154545455;6;R4;
OGELE400_1987_6;0.012;3.133333333;6;R17;
OGELE400_1987_9;0.012;3.133333333;4;R17;
140228_2009_5;0.01;3.111666667;40;R4;
OMUHL800_1985_5;0.051;3.092307692;21;R13;
OMUHL800_1985_9;0.051;3.092307692;16;R13;
OMUHL800_1987_5;0.053;3.086666667;19;R13;
OMUHL800_1987_9;0.053;3.086666667;16;R13;
OGELE300_1999_7;0.013;3.06;30;R17;
OANSE900_1987_6;0.104;3.058333333;9;R17;
OGELE900_1989_6;0.049;2.941666667;20;R18;
OGELE700_1989_10;0.047;2.933333333;7;R18;
OURUR900_1991_6;0.066;2.863636364;10;R4;
OZEEP300_1991_5;0.037;2.858333333;5;R4;
OANSE300_1984_5;0.004;2.837692308;14;R17;
OANSE300_1984_9;0.004;2.837692308;14;R17;
OURUR900_1986_6;0.056;2.83;15;R4;
ORODE500_1989_9;0.038;2.773076923;18;R13;
