SampleID;x1;x2;y;RandomEffect
1;no addition;control;0.31;1
2;no addition;control;0.35;2
3;no addition;control;0.09;3
4;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0.26;1
5;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0.7;2
6;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0.17;3
7;no addition;hydropeaking;0.12;1
8;no addition;hydropeaking;0.17;2
9;no addition;hydropeaking;0.09;3
10;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.19;1
11;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.27;2
12;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.13;3
13;no addition;control;0.6;1
14;no addition;control;0.5;2
15;no addition;control;0.5;3
16;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;4.5;1
17;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;3.5;2
18;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;2.1;3
19;no addition;hydropeaking;0.3;1
20;no addition;hydropeaking;0.1;2
21;no addition;hydropeaking;0.2;3
22;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.5;1
23;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.3;2
24;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;0.3;3
