SampleID;x1;x2;y;RandomEffect
1;no addition;control;5.22;1
2;no addition;control;6.3;2
3;no addition;control;11.5;3
4;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;5.32;1
5;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;2.98;2
6;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;6.51;3
7;no addition;hydropeaking;15.86;1
8;no addition;hydropeaking;10.82;2
9;no addition;hydropeaking;10.48;3
10;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;6.91;1
11;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;4.91;2
12;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;10.44;3
13;no addition;control;2.6;1
14;no addition;control;2.9;2
15;no addition;control;6.4;3
16;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0;1
17;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0;2
18;NaH2PO4 addition [18.4 ± 6.4µg l-1];control;0.9;3
19;no addition;hydropeaking;5.7;1
20;no addition;hydropeaking;15.6;2
21;no addition;hydropeaking;10.7;3
22;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;3.6;1
23;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;6.3;2
24;NaH2PO4 addition [18.4 ± 6.4µg l-1];hydropeaking;7.9;3
