SampleID;x1;x2;y;RandomEffect
S0001;1.679166667;4;0.51;AT_Danube
S0002;1.8744;3;0.41;AT_Danube
S0003;2.109166667;4;0.33;AT_Danube
S0004;1.989166667;2;0.52;AT_Danube
S0005;1.989166667;2;0.50;AT_Danube
S0006;2.1975;2;0.51;AT_Danube
S0007;1.881666667;2;0.49;AT_Danube
S0008;2.1475;3;0.28;AT_Danube
S0009;2.021666667;3;0.35;AT_Danube
S0010;2.304166667;3;0.49;AT_Danube
S0011;2.021666667;4;0.53;AT_Danube
S0012;2.109166667;4;0.25;AT_Danube
S0013;2.258333333;4;0.41;AT_Danube
S0014;1.869166667;4;0.31;AT_Danube
S0015;1.679166667;4;0.39;AT_Danube
S0016;1.818333333;4;0.39;AT_Danube
S0017;1.926666667;4;0.48;AT_Danube
S0019;3.7158;3;0.41;BE_ZGR
S0030;3.7999;3;0.44;BE_ZGR
S0032;2.8815;3;0.16;BE_ZGR
S0042;3.05666;3;0.35;BE_ZGR
S0054;0.73;1;0.63;BG_R6
S0055;0.985;1;0.40;BG_R6
S0056;0.9925;1;0.49;BG_R6
S0057;0.966666667;1;0.55;BG_R6
S0058;0.87;1;0.63;BG_R6
S0059;0.94;1;0.39;BG_R6
S0060;0.9275;1;0.33;BG_R6
S0061;1.035;1;0.49;BG_R6
S0062;1.018333333;1;0.42;BG_R6
S0063;0.985;1;0.49;BG_R6
S0064;1.01;1;0.51;BG_R6
S0065;0.9625;1;0.57;BG_R6
S0066;1.045;1;0.63;BG_R6
S0067;1.1525;1;0.66;BG_R6
S0068;0.9475;1;0.50;BG_R6
S0069;0.67;1;0.62;BG_R6
S0070;0.971666667;1;0.47;BG_R6
S0071;0.9925;1;0.58;BG_R6
S0072;1.01;1;0.66;BG_R6
S0073;0.754;1;0.65;BG_R6
S0074;0.89;1;0.52;BG_R6
S0075;4.0225;4;0.48;CZ_12_3
S0076;2.68667;3;0.55;CZ_12_3
S0077;2.35892;4;0.30;CZ_12_3
S0078;2.44167;4;0.33;CZ_12_3
S0079;3.23083;3;0.44;CZ_12_3
S0080;4.47583;4;0.41;CZ_12_3
S0081;3.24917;4;0.56;CZ_12_3
S0082;3.08417;2;0.59;CZ_12_3
S0083;2.32833;4;0.66;CZ_12_3
S0110;3.421428571;3;0.53;DE_10
S0111;1.4;3;0.44;DE_10
S0113;3.4;3;0.45;DE_10
S0120;3.492857143;3;0.55;DE_10
S0121;3.492857143;3;0.20;DE_10
S0123;3.421428571;3;0.43;DE_10
S0137;3.421428571;3;0.51;DE_10
S0138;1.4;3;0.44;DE_10
S0139;1.5;4;0.23;DE_10
S0140;1.6;3;0.36;DE_10
S0141;1.6;3;0.35;DE_10
S0142;1.5;3;0.35;DE_10
S0143;1.5;3;0.35;DE_10
S0144;1.5;3;0.44;DE_10
S0145;1.5;3;0.42;DE_10
S0146;1.5;4;0.26;DE_10
S0147;1.5;4;0.27;DE_10
S0148;1.5;4;0.13;DE_10
S0149;1.6;3;0.25;DE_10
S0150;1.4;3;0.36;DE_10
S0151;1.6;3;0.28;DE_10
S0152;1.4;3;0.59;DE_10
S0153;1.4;3;0.62;DE_10
S0154;1.4;3;0.65;DE_10
S0155;1.4;3;0.65;DE_10
S0156;1.4;3;0.62;DE_10
S0157;1.4;3;0.59;DE_10
S0158;1.4;3;0.62;DE_10
S0159;1.4;3;0.67;DE_10
S0162;1.4;3;0.30;DE_10
S0172;1.6;3;0.22;DE_10
S0174;1.6;3;0.35;DE_10
S0176;2.55;3;0.49;DE_20
S0177;3.27;3;0.45;DE_20
S0180;3.25;3;0.22;DE_20
S0181;2.6;3;0.60;DE_20
S0184;3.275;3;0.42;DE_20
S0188;3.4;3;0.42;DE_20
S0191;3.27;3;0.42;DE_20
S0192;3.45;3;0.22;DE_20
S0196;3.27;3;0.55;DE_20
S0209;3.25;3;0.52;DE_20
S0210;3.31;3;0.53;DE_20
S0211;3.31;3;0.45;DE_20
S0212;3.31;3;0.59;DE_20
S0214;3.25;3;0.58;DE_20
S0216;3.25;3;0.48;DE_20
S0219;3.25;3;0.47;DE_20
S0224;3.25;3;0.55;DE_20
S0226;2.394301075;2;0.46;ES_117
S0227;3.880107527;2;0.45;ES_117
S0228;2.146415771;2;0.57;ES_117
S0230;3.811738351;2;0.48;ES_117
S0231;2.146415771;2;0.61;ES_117
S0233;3.59;2;0.48;ES_117
S0234;2.587150538;2;0.54;ES_117
S0235;2.394301075;2;0.37;ES_117
S0236;3.432634409;2;0.45;ES_117
S0237;2.587150538;2;0.57;ES_117
S0238;3.811738351;2;0.56;ES_117
S0239;2.146415771;2;0.58;ES_117
S0240;2.862266807;2;0.46;ES_117
S0444;0.688130081;2;0.58;FI_Esk
S0483;0.406754386;3;0.60;FI_Esk
S0484;0.406754386;3;0.44;FI_Esk
S0485;0.406754386;3;0.50;FI_Esk
S0510;0.275897436;1;0.51;FI_ESt
S0511;0.275897436;1;0.49;FI_ESt
S0512;0.275897436;1;0.66;FI_ESt
S0513;0.275897436;1;0.58;FI_ESt
S0514;0.275897436;1;0.62;FI_ESt
S0515;0.275897436;1;0.59;FI_ESt
S0516;0.275897436;1;0.59;FI_ESt
S0517;0.275897436;1;0.67;FI_ESt
S0518;0.275897436;1;0.72;FI_ESt
S0519;0.275897436;1;0.56;FI_ESt
S0520;0.275897436;1;0.62;FI_ESt
S0521;0.275897436;1;0.65;FI_ESt
S0522;0.275897436;1;0.68;FI_ESt
S0523;0.275897436;1;0.76;FI_ESt
S0524;0.275897436;1;0.67;FI_ESt
S0525;0.275897436;1;0.73;FI_ESt
S0526;0.275897436;1;0.75;FI_ESt
S0527;1.4158;3;0.61;HR-R_5B
S0528;1.4233;3;0.63;HR-R_5B
S0530;1.655;3;0.38;HR-R_5B
S0531;0.8692;3;0.73;HR-R_5B
S0532;0.9412;3;0.03;HR-R_5B
S0533;1.356;1;0.58;HR-R_5B
S0534;1.0593;1;0.32;HR-R_5B
S0535;1.2375;1;0.40;HR-R_5B
S0536;1.5677;1;0.73;HR-R_5B
S0537;1.005;2;0.40;HR-R_5C
S0538;1.0017;1;0.63;HR-R_5C
S0539;1.1333;2;0.41;HR-R_5C
S0540;1.0614;2;0.55;HR-R_5C
S0541;1.0468;1;0.45;HR-R_5C
S0542;1.595;3;0.54;HR-R_5C
S0543;1.2788;3;0.46;HR-R_5C
S0545;1.0867;3;0.48;HR-R_5C
S0546;1.0538;3;0.50;HR-R_5C
S0547;1.0508;3;0.69;HR-R_5C
S0548;1.0762;2;0.82;HR-R_5C
S0549;1.0542;3;0.52;HR-R_5C
S0550;1.1427;2;0.35;HR-R_5C
S0551;1.252;2;0.34;HR-R_5C
S0552;1.86;2;0.41;HR-R_5D
S0553;1.83;2;0.48;HR-R_5D
S0554;1.856;3;0.54;HR-R_5D
S0555;2.45;2;0.42;HU_13
S0556;1.886164384;2;0.57;HU_13
S0557;0.576058442;1;0.48;HU_13
S0558;2.779230769;2;0.69;HU_13
S0559;2.432;2;0.56;HU_13
S0560;2.7995;2;0.67;HU_13
S0561;1.831944444;2;0.54;HU_14
S0562;1.126333333;1;0.66;HU_14
S0563;2.065555556;2;0.50;HU_14
S0564;1.100418605;1;0.45;HU_14
S0565;1.220183673;1;0.50;HU_14
S0566;1.316938356;1;0.69;HU_19
S0567;0.975882353;2;0.39;HU_19
S0568;0.921294964;2;0.60;HU_20
S0569;1.012898551;2;0.56;HU_20
S0570;0.958285714;2;0.55;HU_20
S0571;0.83;2;0.46;HU_20
S0572;0.991111111;2;0.50;HU_20
S0573;0.889166667;2;0.63;HU_20
S0574;0.889166667;2;0.48;HU_20
S0575;1.066111111;2;0.42;HU_20
S0576;0.690625;2;0.36;HU_20
S0577;0.757027397;1;0.44;HU_20
S0578;1.140547945;2;0.79;HU_20
S0579;0.574027778;1;0.46;HU_20
S0580;0.846875;2;0.51;HU_20
S0581;1.097428571;2;0.70;HU_20
S0582;1.140547945;2;0.79;HU_20
S0583;0.952958333;1;0.58;HU_20
S0584;0.747142857;1;0.78;HU_20
S0585;0.952958333;1;0.81;HU_20
S0586;1.25;1;0.38;HU_20
S0587;0.747142857;1;0.80;HU_20
S0588;0.846875;2;0.40;HU_20
S0589;0.704;1;0.71;LT_4
S0590;1.779;1;0.44;LT_4
S0591;1.3;2;0.44;LT_4
S0592;1.03;2;0.49;LT_4
S0593;0.837;1;0.73;LT_4
S0594;0.908;1;0.59;LT_4
S0595;0.673;1;0.63;LT_4
S0596;1.386;1;0.48;LT_4
S0597;1.07;1;0.62;LT_4
S0598;1.203;1;0.73;LT_4
S0599;1.233;2;0.42;LT_4
S0600;1.035;1;0.47;LT_4
S0601;1.63;1;0.42;LT_4
S0602;0.615;1;0.66;LT_5
S0603;0.523;1;0.72;LT_5
S0604;1.188;1;0.42;LT_5
S0605;0.767;1;0.60;LT_5
S0606;0.585947368;1;0.77;LV_6
S0607;1.07881358;1;0.64;LV_6
S0608;1.07881358;1;0.68;LV_6
S0609;1.07881358;1;0.59;LV_6
S0610;2.341678395;2;0.48;LV_6
S0611;0.704758065;1;0.37;LV_6
S0612;0.585947368;1;0.51;LV_6
S0613;0.585947368;1;0.60;LV_6
S0614;1.07881358;1;0.54;LV_6
S0616;0.390333333;1;0.34;NO_7
S0617;0.390333333;1;0.51;NO_7
S0618;0.390333333;1;0.75;NO_7
S0619;0.390333333;1;0.55;NO_7
S0620;0.1028;1;0.56;NO_8
S0621;0.234833333;2;0.54;NO_8
S0622;0.1028;2;0.39;NO_8
S0623;0.1028;2;0.42;NO_8
S0624;0.1028;1;0.38;NO_8
S0625;0.234833333;2;0.51;NO_8
S0626;0.1028;1;0.56;NO_8
S0637;1.547;1;0.55;PL_21_ large lowland river
S0638;1.207708333;1;0.45;PL_21_ large lowland river
S0641;0.69;3;0.56;PL_21_ large lowland river
S0642;1.142833333;1;0.48;PL_21_ large lowland river
S0643;1.293041667;3;0.22;PL_21_ large lowland river
S0648;1.656666667;2;0.62;PL_21_ large lowland river
S0649;1.656666667;2;0.60;PL_21_ large lowland river
S0668;2.138888889;1;0.43;PL_21_ large lowland river
S0669;0.885;1;0.86;PL_21_ large lowland river
S0670;1.48025;1;0.64;PL_21_ large lowland river
S0672;0.875;2;0.66;PL_21_ large lowland river
S0673;1.2225;2;0.70;PL_21_ large lowland river
S0674;1.1745;2;0.32;PL_21_ large lowland river
S0675;0.975333333;2;0.55;PL_21_ large lowland river
S0676;1.92375;3;0.46;PL_21_ large lowland river
