SampleID;x1;x2;y;RandomEffect
1;0.063333333;8.5;4.9;Autumn
2;0.106666667;12.59666667;7.7;Spring
3;0.05;21.13666667;3.5;Summer
4;0.06;2;23.1;Winter
5;0.093333333;14.36666667;20.16666667;Autumn
6;0.085;9.645;10.6;Spring
7;0.075;22.63;9.55;Summer
8;0.07;4.5;6.75;Winter
9;0.08;18.24333333;18.8;Autumn
10;0.05;12.94333333;4.833333333;Spring
11;0.05;22.635;5.1;Summer
12;0.14;3.98;37.4;Winter
13;0.096666667;15.79333333;19.16666667;Autumn
14;0.086666667;12.61666667;13.7;Spring
15;0.096666667;24.575;19.56666667;Summer
16;0.15;8.83;9.5;Winter
17;0.076666667;16.77333333;15.4;Autumn
18;0.073333333;14.23333333;1.233333333;Spring
19;0.043333333;24.49;11.03333333;Summer
20;0.026666667;6.073333333;8.6;Winter
21;0.08;14.53;21.36666667;Autumn
22;0.08;10.56;12.05;Spring
23;0.063333333;21.75;24.03333333;Summer
24;0.065;19.155;24.85;Autumn
25;0.06;11.45333333;8.766666667;Spring
26;0.13;22.44666667;10.63333333;Summer
27;0.12;3.665;11.9;Winter
28;0.093333333;16.26666667;21.03333333;Autumn
29;0.135;;9.95;Spring
30;0.095;23.535;2.2;Summer
31;0.08;3.53;10.5;Winter
32;0.05;14.46333333;4.766666667;Autumn
33;0.093333333;12.77333333;18.33333333;Spring
34;0.106666667;22.55;15.46666667;Summer
35;0.11;4.325;10.2;Winter
36;0.09;12.945;12.05;Autumn
37;0.113333333;12.39333333;22.16666667;Spring
38;0.1;22.51666667;18.9;Summer
39;0.116666667;17.53333333;7.633333333;Autumn
40;0.086666667;11.43;2.566666667;Spring
41;0.083333333;24.04666667;9.166666667;Summer
42;0.08;;5.1;Winter
43;0.11;16.25;13.65;Autumn
44;0.17;14.03;15.73333333;Spring
45;0.135;22.815;13.7;Summer
46;0.08;7.13;16.5;Winter
47;0.065;17.89;12.05;Autumn
48;0.076666667;10.63;25.16666667;Spring
49;0.08;22.91;14.96666667;Summer
50;0.13;5.41;50.8;Winter
51;0.07;15.63333333;5.7;Autumn
52;0.11;14.01;33.8;Spring
53;0.056666667;23.19;19.56666667;Summer
54;0.113333333;5.3;23.3;Winter
55;0.07;12.86666667;10.56666667;Autumn
56;0.053333333;12.52;1.633333333;Spring
57;0.065;23.63;5.2;Summer
58;0.06;4.03;1.9;Winter
59;0.065;19.055;14;Autumn
60;0.06;12.60333333;15.96666667;Spring
61;0.063333333;23.32333333;13.3;Summer
62;0.06;4.42;13.6;Winter
63;0.093333333;13.14333333;10.73333333;Autumn
64;0.06;13.63333333;9.9;Spring
65;0.083333333;22.78666667;7.666666667;Summer
66;0.06;5.06;16.25;Winter
