SampleID;x1;x2;y;RandomEffect ; 
NW_543550_24.07.2012;4.94;0.857038761;0;14;
NW_802906_04.06.2012;5.32;0.737044563;0;14;
NW_151208_05.07.2007;4;0.869060443;1.111;17;
NW_314043_06.06.2007;6.51;0.917527302;1.818;18;
NW_262500_07.06.2006;6.06;0.934119224;2.105;16;
NW_238569_22.04.2009;7;0.917527302;2.5;17;
NW_147400_29.05.2006;7;0.902049022;2.5;18;
NW_614208_02.08.2006;6;0.800952929;2.727;15g;
NW_515401_15.05.2009;6;0.857038761;2.857;15g;
NW_515607_15.05.2008;6;0.857038761;2.857;15g;
NW_137704_02.05.2012;7;0.902049022;2.857;17;
NW_259408_22.08.2006;7;0.556754625;2.857;18;
NW_515000_14.05.2008;7;0.857038761;3.333;15g;
NW_610902_26.07.2006;7;0.766189595;3.333;15;
NW_262705_09.06.2009;6.63;0.934119224;3.333;16;
NW_151208_31.03.2009;4;0.869060443;3.333;17;
NW_265901_14.08.2008;7;0.934119224;3.333;17;
NW_238569_23.05.2012;7;0.917527302;3.333;17;
NW_151208_04.05.2012;4;0.869060443;3.571;17;
NW_516107_14.05.2009;6;0.832620504;3.636;15g;
NW_302429_17.04.2007;5.2;0.96651416;3.75;14;
NW_143509_11.06.2007;6.37;0.900026694;3.75;16;
NW_277502_14.10.2008;6.89;0.56378671;3.846;14;
NW_137005_21.06.2012;7;0.869060443;3.889;17;
NW_145981_29.06.2007;5.21;0.952726626;4.118;16;
NW_302314_03.04.2007;4.95;0.96651416;4.167;14;
NW_607101_23.04.2012;6;0.80905965;4.167;15;
NW_801781_25.05.2009;6.76;0.737044563;4.231;14;
NW_147400_28.04.2009;7;0.902049022;4.286;18;
NW_303641_04.08.2005;6.68;0.96651416;4.444;14;
NW_303586_22.06.2005;7;0.96651416;4.444;14;
NW_540900_27.06.2006;6.67;0.846298536;4.444;14;
NW_809287_15.05.2012;5.76;0.737044563;4.444;14;
NW_515802_15.05.2008;4;0.832620504;4.5;15g;
NW_514809_03.05.2012;7;0.846298536;5;15g;
NW_514500_03.05.2012;7;0.800952929;5;15g;
NW_516004_03.05.2012;6;0.832620504;5;15g;
NW_228102_06.04.2009;7;0.54556297;5;14;
NW_304475_08.09.2006;5.57;0.959002419;5;14;
NW_304529_13.10.2006;6.32;0.959002419;5;14;
NW_548303_21.04.2009;3.4;0.826810689;5;14;
NW_314067_06.06.2007;6.78;0.917527302;5;18;
NW_613708_29.06.2012;5;0.800952929;5.172;15g;
NW_137303_12.06.2012;7;0.878083978;5.172;17;
NW_143704_28.06.2007;3.91;0.900026694;5.185;16;
NW_515012_03.05.2012;6;0.846298536;5.217;15g;
NW_686190_12.07.2006;3.52;0.846298536;5.217;14;
NW_137558_08.05.2012;6;0.878083978;5.312;17;
NW_515103_07.07.2004;6;0.857038761;5.333;15g;
NW_801628_22.05.2012;3.28;0.737044563;5.333;14;
NW_515103_10.07.2012;6;0.857038761;5.357;15g;
NW_265901_07.08.2006;7;0.934119224;5.455;17;
NW_259408_23.04.2009;7;0.556754625;5.556;18;
NW_144400_26.05.2009;4.61;0.900026694;5.6;16;
NW_614208_27.06.2012;6;0.800952929;5.652;15g;
NW_791532_30.05.2007;4.68;0.874459481;5.714;14;
NW_614208_25.08.2005;6;0.800952929;5.789;15g;
NW_606911_21.05.2008;4.8;0.80905965;5.789;18;
NW_514809_14.07.2004;7;0.846298536;5.833;15g;
NW_302089_19.04.2007;3.8;0.571861388;5.833;14;
NW_515012_30.06.2008;6;0.846298536;5.882;15g;
NW_515401_14.08.2012;6;0.857038761;6;15g;
NW_516004_02.07.2008;6;0.832620504;6;15g;
NW_515802_03.05.2012;4;0.832620504;6;15g;
NW_543408_07.05.2009;7;0.857038761;6;14;
NW_138903_02.07.2012;7;0.917527302;6;17;
NW_686268_24.06.2008;6;0.800952929;6.087;15g;
NW_619504_07.05.2007;5.69;0.98164955;6.111;18;
NW_515000_03.05.2012;7;0.857038761;6.19;15g;
NW_137005_22.06.2009;7;0.869060443;6.25;17;
NW_137558_21.07.2009;6;0.878083978;6.25;17;
NW_516004_15.08.2012;6;0.832620504;6.316;15g;
NW_540808_04.06.2007;6.37;0.846298536;6.316;14;
NW_226403_15.05.2008;4.72;0.556754625;6.364;14;
NW_314043_01.06.2012;6.51;0.917527302;6.364;18;
NW_314067_01.06.2012;6.78;0.917527302;6.364;18;
