SampleID;x1;x2;y;RandomEffect ; 
R 333;2.9;-3.64;41;;
R 334;3.2;-1.59;17;;
R 335;3.2;-1.09;18;;
R 336;3.2;-2.66;27;;
R 338;3;-4.01;37;;
R 339;3.5;-0.78;18;;
R 340;3;-2.13;14;;
R 346;2.7;-4.23;42;;
R 347;2.8;-2.2;47;;
R 351;3.6;-2.05;13;;
R 355;3.5;-2.38;25;;
R 392;2.8;-4.41;50;;
R 393;2.8;-1.76;49;;
R 402;3;-4.31;52;;
R 403;2.7;-5;64;;
R 406;3;-4.28;55;;
R 410;3.5;-4;48;;
R 420;3;-2.57;59;;
R 439;3.4;-1.51;11;;
R 443;3.3;-1.99;38;;
R 449;2.9;-3.2;43;;
R 458;3.3;-3.16;29;;
R 476;3.2;-4.37;54;;
R 484;3;-2.71;34;;
R 486;2.9;-4.31;38;;
R 488;3;-4.16;25;;
R 498;2.9;-4.4;32;;
R 499;2.9;-2.27;29;;
R 502;2.8;-4.26;47;;
R 504;3.1;-2.29;37;;
R 505;3.1;-1.74;37;;
R 509;3;-3.35;29;;
R 514;3.7;-4.15;30;;
R 515;3.2;-4.15;20;;
R 516;3.6;-2.94;14;;
R 520;3;-5;23;;
R 522;2.8;-4.15;28;;
R 824;2.7;-4.16;49;;
R 836;3.3;-2.11;47;;
R 837;2.8;-4.19;46;;
R 839;3.1;-4.12;52;;
R 844;3.4;-1.69;16;;
R 855;3;-4.22;44;;
R 857;3.1;-4.14;43;;
R 866;2.7;-5;53;;
R 871;2.9;-3.32;45;;
R 872;2.6;-2.58;41;;
R 874;2.9;-3.28;52;;
R 875;2.8;-5;46;;
R 878;3;-2.87;43;;
R 880;3.9;-3.42;27;;
R 882;2.5;-5;73;;
R 883;3.2;-2.01;34;;
R 884;3;-4.18;38;;
R 885;2.8;-4.21;53;;
R 892;3;-2.24;45;;
R 893;3.4;-1.71;37;;
R 896;2.8;-4.17;55;;
R 908;2.6;-4.19;50;;
R 922;3.7;-1.81;16;;
R1019;3.5;-2.1;28;;
R1020;4;-2.85;9;;
R1021;3.4;-2.66;16;;
R1022;3.6;-2.14;24;;
R1023;3.4;-2.27;8;;
R1027;3.9;-2.55;4;;
R1035;3.9;-2.58;30;;
R1037;3.3;-4.42;58;;
R1040;3.8;-2.25;29;;
R1041;3.8;-1.35;22;;
R1042;3.6;-2.45;24;;
R1046;3.2;-2.21;45;;
R1047;4.1;-3.9;33;;
R1050;3.2;-3.36;47;;
R1051;3.4;-2.08;32;;
R1053;3.7;-4.42;54;;
R1055;3.8;-4.4;47;;
R1057;3.5;-4.4;34;;
R1065;3.1;-3.97;52;;
R1066;3.4;-3.39;50;;
R1068;3.5;-1.7;28;;
R1072;2.7;-3.28;52;;
R1080;3;-4.26;36;;
R1084;2.5;-5;48;;
R1087;2.9;-3.24;53;;
R1096;2.8;-4.64;70;;
R1101;3.4;-2.83;51;;
R1102;2.9;-3.52;43;;
R1108;3;-2.59;34;;
R1133;2;-4.6;52;;
R1139;2.3;-4.6;36;;
R1155;3.8;-2.96;35;;
R1167;3.7;-4.61;48;;
R1171;2.7;-4.41;53;;
R1185;2.6;-4.46;53;;
R1212;3;-3.55;25;;
R1213;2.6;-4.43;54;;
R1266;2.8;-4.02;50;;
R1347;2.6;-4.69;51;;
R1349;2.8;-5;53;;
