SampleID;x1;x2;y;year; 
1;15.32413;23.596359;92;1984;
2;14.436739;21.169348;83;1985;
3;14.56663;21.929674;69;1986;
4;13.118152;19.813587;74;1987;
5;15.736739;24.623859;88;1988;
6;14.963043;22.758533;92;1989;
7;16.053261;36.445707;92;1990;
8;16.113043;41.3525;92;1991;
9;16.053261;38.268043;92;1992;
10;13.372826;40.850598;92;1993;
11;16.161957;42.919946;92;1994;
12;16.233696;39.885652;92;1995;
13;15.595652;44.70288;92;1996;
14;18.051087;46.11087;92;1997;
15;14.122826;39.855435;92;1998;
16;15.494565;38.46163;92;1999;
17;14.619565;42.305543;92;2000;
18;15.738043;45.372989;92;2001;
19;17.511957;38.905815;92;2002;
20;17.240217;41.133859;92;2003;
21;15.728261;44.620652;92;2004;
22;16.006522;40.32837;92;2005;
23;17.329348;41.987717;92;2006;
24;16.240217;70.859022;92;2007;
25;16.405435;41.083913;92;2008;
26;16.225;41.004076;92;2009;
27;15.916304;32.629239;92;2010;
28;16.231522;37.377337;92;2011;
29;14.919565;34.698804;92;2012;
30;16.322826;39.946685;88;2013;
31;15.992065;26.495598;84;2014;
32;17.450326;23.704728;89;2015;
33;16.241087;28.540652;89;2016;
34;16.706739;28.178207;75;2017;
35;15.973587;34.877174;79;2018;
36;16.09087;33.137826;75;2019;
37;16.14913;28.897717;55;2020;
38;14.97337;29.926413;84;2021;
39;18.500652;26.754891;92;2022;
40;16.999457;19.939402;66;2023;
41;15.523913;21.826359;61;2024;
42;16.295109;28.64538;92;2025;
43;17.690435;31.350489;79;2026;
44;14.851848;37.354728;86;2027;
45;15.667826;29.433696;76;2028;
46;16.119783;23.114837;20;2029;
47;16.147826;29.730543;86;2030;
48;16.265543;23.405543;73;2031;
49;15.915;23.939674;58;2032;
50;16.897283;25.6575;53;2033;
51;16.165217;28.207446;89;2034;
52;16.855109;28.636902;69;2035;
53;15.123261;34.362391;55;2036;
54;16.520978;28.47337;70;2037;
55;15.779891;30.365543;59;2038;
56;16.866522;30.943533;76;2039;
57;16.125326;26.160489;91;2040;
58;16.700217;23.72962;57;2041;
59;18.314239;21.499457;22;2042;
60;16.184891;32.546141;81;2043;
61;17.272391;28.358696;53;2044;
62;17.108478;36.545163;86;2045;
63;18.840217;32.969402;70;2046;
64;16.495326;26.478478;35;2047;
65;15.582826;28.997228;42;2048;
66;16.242935;19.611033;8;2049;
67;16.031413;19.480054;0;2050;
68;17.966087;18.947065;7;2051;
69;16.403478;29.525217;87;2052;
70;16.936848;25.675109;50;2053;
71;17.288696;30.106141;42;2054;
72;18.171957;30.415652;49;2055;
73;18.317935;31.862391;53;2056;
74;16.647935;29.826033;50;2057;
75;16.861957;24.810163;46;2058;
76;16.35163;22.525054;14;2059;
77;17.356957;23.262989;6;2060;
78;18.637283;33.781467;59;2061;
79;17.57337;24.970435;70;2062;
80;16.739022;35.574293;59;2063;
81;16.871522;32.583424;64;2064;
82;19.082935;32.413261;43;2065;
83;16.821957;27.708261;43;2066;
84;18.399022;24.636957;20;2067;
85;16.912283;22.574674;26;2068;
86;18.999674;22.692174;25;2069;
87;18.336196;29.217391;67;2070;
